63.79,-0.14,4,0.00,s1,-10,4,-2
63.48,-0.14,4,0.00,s1,-12,3,-5
63.25,-0.13,4,0.00,s1,-7,6,-3
62.94,-0.13,4,0.00,s1,-4,6,-13
62.78,-0.12,4,0.00,s1,-8,8,-8
62.62,-0.12,4,0.00,s1,-13,7,-7
62.30,-0.12,4,0.00,s1,-10,8,-7
62.15,-0.11,4,0.00,s1,-12,10,-9
61.98,-0.11,4,0.00,s1,-10,10,-6
61.82,-0.11,4,0.00,s1,-9,12,-8
61.66,-0.12,4,0.00,s1,-12,11,-7
61.50,-0.12,4,0.00,s1,-8,6,-12
61.25,-0.12,4,0.00,s1,-11,9,-6
61.09,-0.11,4,0.00,s1,-8,12,-4
60.84,-0.12,4,0.00,s1,-11,11,-5
60.76,-0.12,4,0.00,s1,-5,10,-8
60.59,-0.13,4,0.00,s1,-11,7,-12
60.51,-0.15,4,0.00,s1,-15,6,-15
60.34,-0.15,4,0.00,s1,-10,9,-10
60.17,-0.15,4,0.00,s1,-12,12,-11
59.84,-0.15,4,0.00,s1,-10,5,-6
59.58,-0.14,4,0.00,s1,-9,9,-13
59.41,-0.14,4,0.00,s1,-7,9,-5
59.15,-0.14,4,0.00,s1,-13,10,-12
58.98,-0.14,4,0.00,s1,-14,11,-13
58.81,-0.14,4,0.00,s1,-16,12,-11
58.54,-0.13,4,0.00,s1,-11,7,-12
58.37,-0.13,4,0.00,s1,-11,12,-10
58.10,-0.12,4,0.00,s1,-10,10,-8
57.93,-0.12,4,0.00,s1,-10,13,-14
57.75,-0.13,4,0.00,s1,-9,9,-15
57.66,-0.14,4,0.00,s1,-11,10,-10
57.39,-0.13,4,0.00,s1,-14,10,-15
57.21,-0.13,4,0.00,s1,-12,12,-9
56.94,-0.13,4,0.00,s1,-11,4,-9
56.76,-0.12,4,0.00,s1,-10,7,-11
56.58,-0.12,4,0.00,s1,-10,11,-8
56.49,-0.13,4,0.00,s1,-7,6,-6
56.31,-0.14,4,0.00,s1,-13,5,-10
56.21,-0.14,4,0.00,s1,-11,7,-8
56.03,-0.14,4,0.00,s1,-13,7,-12
55.75,-0.14,4,0.00,s1,-11,11,-10
55.57,-0.14,4,0.00,s1,-9,8,-10
55.29,-0.14,4,0.00,s1,-10,7,-15
55.19,-0.14,4,0.00,s1,-8,12,-10
55.10,-0.15,4,0.00,s1,-13,12,-9
55.01,-0.16,4,0.00,s1,-6,7,-10
54.91,-0.16,4,0.00,s1,-10,8,-10
54.54,-0.16,4,0.00,s1,-11,9,-11
54.25,-0.14,4,0.00,s1,-10,12,-11
53.96,-0.14,4,0.00,s1,-11,10,-13
53.77,-0.14,4,0.00,s1,-12,11,-10
53.58,-0.14,4,0.00,s1,-12,11,-11
53.39,-0.13,4,0.00,s1,-9,6,-10
53.10,-0.13,4,0.00,s1,-13,7,-13
52.90,-0.13,4,0.00,s1,-8,6,-6
52.71,-0.12,4,0.00,s1,-14,11,-11
52.51,-0.13,4,0.00,s1,-10,9,-15
52.32,-0.13,4,0.00,s1,-11,8,-13
52.12,-0.13,4,0.00,s1,-15,7,-11
52.02,-0.13,4,0.00,s1,-9,12,-12
51.92,-0.13,4,0.00,s1,-13,9,-10
51.62,-0.13,4,0.00,s1,-6,6,-9
51.42,-0.13,4,0.00,s1,-15,13,-7
51.23,-0.13,4,0.00,s1,-14,6,-10
51.13,-0.13,4,0.00,s1,-11,11,-8
50.92,-0.14,4,0.00,s1,-10,7,-5
50.82,-0.14,4,0.00,s1,-8,11,-5
50.62,-0.14,4,0.00,s1,-7,12,-6
50.52,-0.15,4,0.00,s1,-9,9,-8
50.22,-0.16,4,0.00,s1,-10,6,-13
50.01,-0.16,4,0.00,s1,-10,10,-15
49.71,-0.15,4,0.00,s1,-11,12,-10
49.50,-0.14,4,0.00,s1,-12,5,-12
49.30,-0.14,4,0.00,s1,-13,9,-10
49.09,-0.13,4,0.00,s1,-9,11,-10
48.89,-0.13,4,0.00,s1,-12,11,-11
48.78,-0.13,4,0.00,s1,-10,10,-11
48.47,-0.13,4,0.00,s1,-13,14,-9
48.16,-0.12,4,0.00,s1,-11,13,-18
47.95,-0.11,4,0.00,s1,-10,6,-12
47.74,-0.11,4,0.00,s1,-9,14,-5
47.53,-0.11,4,0.00,s1,-10,6,-10
47.42,-0.12,4,0.00,s1,-9,11,-12
47.32,-0.12,4,0.00,s1,-10,12,-13
47.11,-0.13,4,0.00,s1,-10,11,-10
46.68,-0.12,4,0.00,s1,-9,10,-5
46.47,-0.11,4,0.00,s1,-13,8,-13
46.36,-0.12,4,0.00,s1,-11,10,-14
46.15,-0.11,4,0.00,s1,-16,11,-12
45.93,-0.11,4,0.00,s1,-14,11,-13
45.83,-0.12,4,0.00,s1,-14,12,-12
45.61,-0.12,4,0.00,s1,-8,12,-16
45.50,-0.13,4,0.00,s1,-8,7,-15
45.29,-0.13,4,0.00,s1,-13,1,-11
45.18,-0.13,4,0.00,s1,-6,1,-13
45.07,-0.13,4,0.00,s1,-8,4,-19
44.96,-0.14,4,0.00,s1,-11,-5,-19
44.85,-0.15,4,0.00,s1,-9,-1,-18
44.85,-0.16,4,0.00,s1,-10,-6,-18
44.64,-0.17,4,0.00,s1,-10,-11,-12
44.53,-0.17,4,0.00,s1,-4,-10,-15
44.42,-0.18,4,0.00,s1,-9,-20,-18
44.20,-0.17,4,0.00,s1,-6,-27,-20
43.98,-0.17,4,0.00,s1,-6,-31,-22
