74.20,0.04,4,0.00,s1,2,-3,-12,s2,-3,-5,-16,s3,-2,-4,-8,s4,-4,-3,6,s5,7,5,-20,s6,6,1,-2,s7,-8,-2,-15,s8,-1,-3,0,s9,1,-1,-22,s10,-7,3,-12,s11,0,0,-6,s12,-2,1,6,s13,0,0,0,s14,0,0,0,s15,0,0,0,s16,0,0,0,
74.20,0.04,4,0.00,s1,1,-7,-18,s2,-2,-6,-16,s3,-1,-10,-13,s4,-2,0,6,s5,7,3,-27,s6,5,4,-6,s7,-8,2,-21,s8,1,-4,-1,s9,4,6,-28,s10,-3,2,-15,s11,1,0,-9,s12,3,1,6,s13,0,0,0,s14,0,0,0,s15,0,0,0,s16,0,0,0,
74.20,0.04,4,0.00,s1,8,-3,-15,s2,-1,-6,-18,s3,-6,-8,-16,s4,-2,-1,3,s5,10,4,-31,s6,-1,1,-3,s7,-10,3,-21,s8,1,0,7,s9,-3,3,-35,s10,-4,6,-17,s11,0,2,-6,s12,-4,-2,0,s13,0,0,0,s14,0,0,0,s15,0,0,0,s16,0,0,0,
74.20,0.04,4,0.00,s1,5,-5,-16,s2,-1,-9,-23,s3,-5,-12,-3,s4,-4,-1,5,s5,6,1,-33,s6,4,-1,-6,s7,-14,0,-22,s8,-1,-4,4,s9,4,4,-38,s10,-5,4,-18,s11,-6,-3,-7,s12,3,-1,-1,s13,0,0,0,s14,0,0,0,s15,0,0,0,s16,0,0,0,
74.20,0.04,4,0.00,s1,8,-6,-16,s2,-5,-5,-30,s3,-8,-8,-6,s4,-6,-4,8,s5,9,1,-35,s6,1,2,-4,s7,-7,-1,-20,s8,0,-3,1,s9,0,5,-42,s10,-7,1,-21,s11,0,-1,-7,s12,0,0,1,s13,0,0,0,s14,0,0,0,s15,0,0,0,s16,0,0,0,
74.20,0.04,4,0.00,s1,6,-7,-20,s2,-5,-9,-26,s3,1,-10,-13,s4,-7,2,11,s5,9,5,-38,s6,-3,1,-7,s7,-14,-2,-29,s8,3,-2,5,s9,0,1,-43,s10,-11,3,-23,s11,-4,2,-4,s12,0,-2,3,s13,0,0,0,s14,0,0,0,s15,0,0,0,s16,0,0,0,
74.20,0.04,4,0.00,s1,6,-4,-25,s2,-4,-9,-33,s3,-8,-12,-19,s4,-5,-4,9,s5,9,6,-39,s6,0,2,-7,s7,-13,-2,-26,s8,0,0,4,s9,6,7,-44,s10,-2,1,-27,s11,-2,1,-5,s12,1,4,1,s13,0,0,0,s14,0,0,0,s15,0,0,0,s16,0,0,0,
74.20,0.04,4,0.00,s1,6,-11,-24,s2,-7,-11,-39,s3,-8,-9,-15,s4,-7,-2,13,s5,13,5,-47,s6,1,1,-5,s7,-14,-3,-25,s8,-4,-1,5,s9,10,1,-50,s10,-9,3,-27,s11,2,-5,-4,s12,2,1,2,s13,0,0,0,s14,0,0,0,s15,0,0,0,s16,0,0,0,
74.20,0.04,4,0.00,s1,10,-9,-21,s2,-4,-11,-36,s3,-8,-9,-20,s4,-7,2,12,s5,13,4,-47,s6,-1,-1,-12,s7,-19,-1,-36,s8,2,1,2,s9,5,6,-55,s10,-8,4,-30,s11,-4,0,-11,s12,1,1,2,s13,0,0,0,s14,0,0,0,s15,0,0,0,s16,0,0,0,
74.20,0.04,4,0.00,s1,10,-13,-23,s2,-3,-12,-39,s3,-4,-9,-14,s4,-11,4,16,s5,16,4,-53,s6,2,5,-9,s7,-20,0,-37,s8,-2,1,3,s9,6,6,-55,s10,-10,6,-35,s11,1,4,-11,s12,3,1,-3,s13,0,0,0,s14,0,0,0,s15,0,0,0,s16,0,0,0,
